"","year","state","population","urban","sex_ratio"
"337",2020,"uttarakhand",11270000,34.49,1131.03070175439
"338",2020,"sikkim",670000,42.83,1094.89051094891
"339",2020,"arunachal_pradesh",1519000,24.96,1129.21348314607
"340",2020,"nagaland",2171000,41.5,1100.2331002331
"341",2020,"manipur",3134000,31.62,974.103585657371
"342",2020,"mizoram",1204000,54.31,1000
"343",2020,"tripura",4032000,35.86,1028.05049088359
"344",2020,"meghalaya",3256000,20.52,1000
"345",2020,"daman_&_diu",441000,92.93,2280
"346",2020,"dadra_&_nagar_haveli",577000,65.51,1470.58823529412
"347",2020,"goa",1549000,72.54,1047.35883424408
"348",2020,"lakshadweep",68000,95.79,1031.25
"349",2020,"puducherry",1537000,69.79,958.029197080292
"350",2020,"andaman_&_nicobar_islands",399000,NA,1139.24050632911
"351",2021,"india",1361343000,34.52,1076.4288712635
"352",2021,"himachal_pradesh",7394000,10.27,1174.78510028653
"353",2021,"punjab",30339000,41.1,1142.80804261901
"354",2021,"haryana",29483000,40.92,1145.47394629201
"355",2021,"nct_of_delhi",20571000,99.35,1152.04801516268
"356",2021,"rajasthan",79281000,26.33,1094.10112359551
"357",2021,"uttar_pradesh",230907000,23.74,1118.53598206694
"358",2021,"bihar",123083000,12.12,1117.38821859475
"359",2021,"assam",35043000,15.32,1056.70498084291
"360",2021,"west_bengal",98125000,35.95,1059.30422600981
"361",2021,"jharkhand",38471000,25.83,1098.83843717001
"362",2021,"odisha",44033000,18.5,1072.75502416688
"363",2021,"chhattisgarh",29493000,26.48,1046.10951008646
"364",2021,"madhya_pradesh",84516000,28.77,1089.35475556319
"365",2021,"gujarat",69788000,47.74,1136.39861485187
"366",2021,"maharashtra",124437000,47.98,1107.43655807715
"367",2021,"andhra_pradesh",52787000,35.27,1013.19204152249
"368",2021,"karnataka",66845000,43.45,1038.46153846154
"369",2021,"kerala",35489000,71.01,916.64131426833
"370",2021,"tamil_nadu",76402000,52.79,1000
"371",2021,"chandigarh",1208000,99.7,1217.31123388582
"372",2021,"uttarakhand",11399000,34.96,1131.01604278075
"373",2021,"sikkim",677000,44.93,1096.55172413793
"374",2021,"arunachal_pradesh",1533000,25.17,1120.87912087912
"375",2021,"nagaland",2192000,42.92,1100.44642857143
"376",2021,"manipur",3165000,31.88,974.559686888454
"377",2021,"mizoram",1216000,54.53,1003.02114803625
"378",2021,"tripura",4071000,36.97,1028.30188679245
"379",2021,"meghalaya",3288000,20.56,1000
"380",2021,"daman_&_diu",469000,94,2366.41221374046
"381",2021,"dadra_&_nagar_haveli",608000,67.09,1472.72727272727
"382",2021,"goa",1559000,73.65,1046.34581105169
"383",2021,"lakshadweep",68000,96.78,1062.5
"384",2021,"puducherry",1571000,69.88,960.714285714286
"385",2021,"andaman_&_nicobar_islands",4e+05,NA,1150
"386",2022,"india",1373761000,34.85,1076.42837008608
"387",2022,"himachal_pradesh",7431000,10.28,1170.45454545455
